id,tested_positive
0,20.258678
1,2.6054754
2,2.6851234
3,11.191338
4,2.8179097
5,28.499363
6,25.967134
7,6.398307
8,11.047802
9,9.29578
10,17.677555
11,20.297337
12,22.326427
13,12.967487
14,20.569721
15,19.141647
16,28.988792
17,7.7143097
18,22.4037
19,3.0805576
20,4.988288
21,24.017927
22,18.674046
23,13.822023
24,11.838564
25,28.192543
26,25.691391
27,27.647606
28,6.5055957
29,19.438704
30,10.476259
31,6.710112
32,27.115726
33,11.7661915
34,22.317217
35,30.674654
36,12.631735
37,7.0238295
38,15.145468
39,8.451607
40,14.735737
41,4.6188836
42,7.4164376
43,17.036903
44,6.2581162
45,16.09012
46,14.619463
47,3.190819
48,6.2516694
49,15.564013
50,16.23369
51,12.995024
52,13.041973
53,7.0530896
54,13.106062
55,30.066113
56,9.632391
57,15.773903
58,33.541225
59,10.659365
60,20.088215
61,21.838612
62,25.710857
63,22.954422
64,18.220673
65,4.0361567
66,13.101479
67,23.310257
68,32.815704
69,17.082588
70,19.555523
71,16.039427
72,12.327358
73,25.523674
74,12.481504
75,2.8747666
76,18.14701
77,13.0252
78,7.9917355
79,5.752894
80,17.91151
81,10.484293
82,11.032045
83,15.202797
84,9.006451
85,17.59214
86,23.691423
87,11.091412
88,6.0923767
89,17.038725
90,27.918064
91,35.417614
92,17.400276
93,5.3521695
94,11.221926
95,11.366257
96,11.1991825
97,22.604296
98,11.3256035
99,12.268911
100,5.117111
101,6.6924295
102,15.26354
103,12.435158
104,3.0583694
105,32.178707
106,28.984283
107,11.178793
108,20.26565
109,9.039476
110,13.920143
111,6.1482196
112,20.384724
113,24.481243
114,15.677971
115,10.106323
116,9.295413
117,29.232288
118,19.534529
119,11.991625
120,11.580339
121,23.483274
122,8.403903
123,19.701717
124,32.66825
125,11.253742
126,11.197531
127,5.4942913
128,3.4783287
129,10.850214
130,17.451591
131,13.150827
132,13.072691
133,15.215506
134,23.213034
135,18.960777
136,22.743557
137,4.6714983
138,16.22216
139,32.989613
140,25.325804
141,17.659616
142,25.953993
143,26.695532
144,11.958229
145,35.54978
146,4.2507772
147,12.395889
148,19.558548
149,15.517321
150,21.091381
151,7.5530047
152,20.920105
153,4.162001
154,33.634083
155,16.90981
156,16.529015
157,27.049217
158,17.281076
159,17.835634
160,17.967842
161,23.492184
162,13.074547
163,15.102549
164,16.459496
165,24.351536
166,27.961992
167,16.400042
168,28.766869
169,16.752575
170,12.0127125
171,12.17371
172,25.135536
173,39.742725
174,21.60386
175,4.868787
176,6.719434
177,33.11452
178,28.811024
179,24.525036
180,15.90291
181,24.07918
182,26.435665
183,9.579203
184,19.48877
185,9.950163
186,19.28986
187,4.841023
188,12.672722
189,26.064419
190,3.9522471
191,23.815958
192,25.841629
193,6.8260255
194,12.484169
195,30.287018
196,7.5928864
197,27.175787
198,11.696512
199,18.793465
200,24.145853
201,16.65688
202,23.268597
203,12.527567
204,26.709555
205,21.122301
206,14.431084
207,28.866898
208,16.51716
209,7.7140965
210,8.995068
211,16.441967
212,31.377157
213,4.740743
214,11.001816
215,13.345144
216,6.5616355
217,14.054531
218,10.281605
219,10.018892
220,15.533678
221,8.788126
222,14.324493
223,13.018499
224,24.339268
225,20.634865
226,14.23196
227,6.485624
228,10.1372795
229,33.125404
230,16.345512
231,6.4992867
232,13.655077
233,21.336655
234,9.726398
235,32.490143
236,19.48668
237,20.3557
238,20.553793
239,31.464067
240,12.099722
241,27.818232
242,28.868406
243,29.09523
244,12.369665
245,10.203413
246,14.890596
247,27.628323
248,19.66206
249,11.829231
250,22.082024
251,15.720598
252,20.636765
253,10.650507
254,12.236401
255,9.525093
256,5.64742
257,19.734482
258,14.580099
259,4.8941975
260,13.370628
261,2.4985065
262,5.3008213
263,21.488142
264,14.840012
265,5.328456
266,24.883135
267,26.163269
268,6.6755815
269,12.182459
270,14.26166
271,7.1268086
272,20.154568
273,10.820801
274,7.6320214
275,16.814878
276,20.25586
277,8.205371
278,15.019707
279,17.392233
280,21.275032
281,20.286663
282,17.800581
283,25.081654
284,17.428267
285,21.593353
286,22.157726
287,28.998486
288,4.966839
289,19.493263
290,12.661158
291,17.519413
292,3.19193
293,3.6204615
294,22.727283
295,15.038494
296,5.0663266
297,23.033474
298,10.8542
299,10.157957
300,12.271519
301,21.61074
302,9.958569
303,19.59342
304,12.692385
305,18.237808
306,21.773888
307,30.246943
308,12.871634
309,11.509224
310,10.494234
311,24.144722
312,8.800631
313,24.22031
314,18.461662
315,15.71731
316,28.624897
317,18.584723
318,18.750256
319,16.255253
320,3.0220628
321,5.936911
322,26.018566
323,18.845207
324,7.635638
325,19.216967
326,3.0734966
327,24.57728
328,18.771343
329,24.804373
330,9.203697
331,24.91895
332,12.62204
333,4.8799467
334,12.123848
335,12.637634
336,24.345201
337,8.503206
338,9.966101
339,22.445263
340,14.083563
341,8.717884
342,21.104118
343,15.075848
344,4.106005
345,18.931332
346,28.257633
347,22.623173
348,19.114647
349,17.676311
350,8.0347
351,23.296793
352,17.478115
353,14.39889
354,5.7987475
355,17.996685
356,22.839314
357,17.973446
358,23.415413
359,15.106592
360,5.754203
361,19.530499
362,8.506807
363,13.751938
364,18.691954
365,33.92185
366,16.041962
367,15.370422
368,5.9869466
369,13.942587
370,16.941353
371,16.120033
372,17.541668
373,11.4768505
374,3.4431674
375,13.584005
376,8.192106
377,9.671507
378,16.124056
379,19.787178
380,26.676147
381,14.909513
382,10.254345
383,21.69422
384,3.8831253
385,14.753231
386,16.236868
387,16.714361
388,14.940264
389,15.718542
390,30.603136
391,11.733818
392,29.228336
393,17.701452
394,8.02268
395,15.050522
396,29.28695
397,19.094997
398,22.805584
399,13.053413
400,15.180042
401,18.94412
402,6.520309
403,31.35894
404,32.736755
405,11.568674
406,8.574022
407,24.353542
408,12.623568
409,17.35682
410,19.309372
411,6.734765
412,25.12533
413,12.590641
414,8.197269
415,18.589739
416,20.3791
417,25.141747
418,25.588535
419,10.066633
420,16.809546
421,3.4838557
422,7.9235206
423,11.25403
424,20.94394
425,13.756708
426,17.856117
427,8.609432
428,32.997723
429,22.690899
430,10.671768
431,19.45488
432,16.313267
433,13.810553
434,6.9148617
435,21.99744
436,34.288986
437,13.151016
438,3.6077528
439,3.0726254
440,6.934557
441,5.024845
442,20.871986
443,19.344276
444,18.672949
445,3.555081
446,3.3066695
447,14.171783
448,24.597893
449,24.18491
450,15.340189
451,8.692216
452,27.913458
453,13.990171
454,12.093714
455,9.775694
456,24.323946
457,17.415855
458,20.674683
459,5.2948184
460,21.709106
461,8.852028
462,15.051403
463,15.721888
464,6.65857
465,9.963093
466,8.416439
467,7.5372424
468,10.752157
469,23.924852
470,18.19225
471,11.799665
472,23.817421
473,10.360802
474,14.262989
475,6.469138
476,13.044323
477,19.519964
478,22.9028
479,23.381134
480,23.56395
481,20.39899
482,27.434542
483,20.888283
484,27.90211
485,4.16946
486,19.257736
487,16.918306
488,23.506119
489,8.361446
490,13.226908
491,21.2565
492,18.546188
493,14.164719
494,16.207748
495,15.846464
496,14.932077
497,4.5330477
498,3.7566876
499,11.956739
500,14.372631
501,4.819476
502,19.54657
503,11.3467045
504,23.04498
505,25.44604
506,22.300808
507,10.424332
508,9.3519
509,17.43033
510,17.843187
511,14.157627
512,19.268497
513,9.564316
514,24.990162
515,13.994627
516,13.509207
517,14.036535
518,13.953398
519,28.435165
520,25.873407
521,16.540245
522,18.40783
523,23.453915
524,11.138802
525,32.03725
526,4.344173
527,16.9655
528,15.504152
529,8.656164
530,16.941826
531,10.552422
532,12.230604
533,12.712433
534,22.605072
535,4.0096574
536,25.73752
537,9.365694
538,24.007992
539,14.975529
540,41.30471
541,13.239485
542,19.649063
543,4.471463
544,9.834274
545,9.809006
546,5.6560693
547,25.880356
548,20.832909
549,13.320139
550,12.093529
551,6.1820483
552,20.065214
553,26.672287
554,21.41423
555,5.274624
556,14.129959
557,15.784847
